time, x
7.320000, 8.348880
7.330000, 8.348671
7.340000, 8.348463
7.350000, 8.348256
7.360000, 8.348050
7.370000, 8.347845
7.380000, 8.347640
7.390000, 8.347437
7.400000, 8.347235
7.410000, 8.347034
7.420000, 8.346833
7.430000, 8.346634
7.440000, 8.346435
7.450000, 8.346238
7.460000, 8.346041
7.470000, 8.345846
7.480000, 8.345651
7.490000, 8.345457
7.500000, 8.345264
7.510000, 8.345072
7.520000, 8.344881
7.530000, 8.344691
7.540000, 8.344502
7.550000, 8.344313
7.560000, 8.344126
7.570000, 8.343939
7.580000, 8.343753
7.590000, 8.343568
7.600000, 8.343384
7.610000, 8.343201
7.620000, 8.343019
7.630000, 8.342838
7.640000, 8.342657
7.650000, 8.342477
7.660000, 8.342298
7.670000, 8.342120
7.680000, 8.341943
7.690000, 8.341767
7.700000, 8.341591
7.710000, 8.341417
7.720000, 8.341243
7.730000, 8.341070
7.740000, 8.340898
7.750000, 8.340726
7.760000, 8.340556
7.770000, 8.340386
7.780000, 8.340217
7.790000, 8.340049
7.800000, 8.339881
7.810000, 8.339715
7.820000, 8.339549
7.830000, 8.339384
7.840000, 8.339219
7.850000, 8.339056
7.860000, 8.338893
7.870000, 8.338731
7.880000, 8.338570
7.890000, 8.338409
7.900000, 8.338250
7.910000, 8.338091
7.920000, 8.337933
7.930000, 8.337775
7.940000, 8.337618
7.950000, 8.337462
7.960000, 8.337307
7.970000, 8.337153
7.980000, 8.336999
7.990000, 8.336846
8.000000, 8.336694
8.010000, 8.336542
8.020000, 8.336391
8.030000, 8.336241
8.040000, 8.336091
8.050000, 8.335943
8.060000, 8.335794
8.070000, 8.335647
8.080000, 8.335500
8.090000, 8.335354
8.100000, 8.335209
8.110000, 8.335064
8.120000, 8.334920
8.130000, 8.334777
8.140000, 8.334634
8.150000, 8.334493
8.160000, 8.334351
8.170000, 8.334211
8.180000, 8.334071
8.190000, 8.333931
8.200000, 8.333793
8.210000, 8.333655
8.220000, 8.333517
8.230000, 8.333381
8.240000, 8.333245
8.250000, 8.333109
8.260000, 8.332975
8.270000, 8.332840
8.280000, 8.332707
8.290000, 8.332574
8.300000, 8.332442
8.310000, 8.332310
8.320000, 8.332179
8.330000, 8.332049
8.340000, 8.331919
8.350000, 8.331790
8.360000, 8.331661
8.370000, 8.331533
8.380000, 8.331406
8.390000, 8.331279
8.400000, 8.331153
8.410000, 8.331027
8.420000, 8.330902
8.430000, 8.330778
8.440000, 8.330654
8.450000, 8.330531
8.460000, 8.330408
8.470000, 8.330286
8.480000, 8.330165
8.490000, 8.330044
8.500000, 8.329923
8.510000, 8.329804
8.520000, 8.329684
8.530000, 8.329566
8.540000, 8.329448
8.550000, 8.329330
8.560000, 8.329213
8.570000, 8.329097
8.580000, 8.328981
8.590000, 8.328865
8.600000, 8.328750
8.610000, 8.328636
8.620000, 8.328522
8.630000, 8.328409
8.640000, 8.328296
8.650000, 8.328184
8.660000, 8.328073
8.670000, 8.327961
8.680000, 8.327851
8.690000, 8.327741
8.700000, 8.327631
8.710000, 8.327522
8.720000, 8.327414
8.730000, 8.327306
8.740000, 8.327198
8.750000, 8.327091
8.760000, 8.326985
8.770000, 8.326879
8.780000, 8.326773
8.790000, 8.326668
8.800000, 8.326564
8.810000, 8.326460
8.820000, 8.326356
8.830000, 8.326253
8.840000, 8.326150
8.850000, 8.326048
8.860000, 8.325947
8.870000, 8.325846
8.880000, 8.325745
8.890000, 8.325645
8.900000, 8.325545
8.910000, 8.325446
8.920000, 8.325347
8.930000, 8.325249
8.940000, 8.325151
8.950000, 8.325053
8.960000, 8.324956
8.970000, 8.324860
8.980000, 8.324764
8.990000, 8.324668
9.000000, 8.324573
9.010000, 8.324478
9.020000, 8.324384
9.030000, 8.324290
9.040000, 8.324197
9.050000, 8.324104
9.060000, 8.324011
9.070000, 8.323919
9.080000, 8.323828
9.090000, 8.323737
9.100000, 8.323646
9.110000, 8.323555
9.120000, 8.323465
9.130000, 8.323376
9.140000, 8.323287
9.150000, 8.323198
9.160000, 8.323110
9.170000, 8.323022
9.180000, 8.322935
9.190000, 8.322848
9.200000, 8.322761
9.210000, 8.322675
9.220000, 8.322589
9.230000, 8.322504
9.240000, 8.322419
9.250000, 8.322334
9.260000, 8.322250
9.270000, 8.322166
9.280000, 8.322083
9.290000, 8.322000
9.300000, 8.321917
9.310000, 8.321835
9.320000, 8.321753
9.330000, 8.321671
9.340000, 8.321590
9.350000, 8.321510
9.360000, 8.321429
9.370000, 8.321349
9.380000, 8.321270
9.390000, 8.321190
9.400000, 8.321112
9.410000, 8.321033
9.420000, 8.320955
9.430000, 8.320877
9.440000, 8.320800
9.450000, 8.320723
9.460000, 8.320646
9.470000, 8.320570
9.480000, 8.320494
9.490000, 8.320418
9.500000, 8.320343
9.510000, 8.320268
9.520000, 8.320194
9.530000, 8.320119
9.540000, 8.320046
9.550000, 8.319972
9.560000, 8.319899
9.570000, 8.319826
9.580000, 8.319754
9.590000, 8.319682
9.600000, 8.319610
9.610000, 8.319538
9.620000, 8.319467
9.630000, 8.319396
9.640000, 8.319326
9.650000, 8.319256
9.660000, 8.319186
9.670000, 8.319117
9.680000, 8.319048
9.690000, 8.318979
9.700000, 8.318910
9.710000, 8.318842
9.720000, 8.318774
9.730000, 8.318707
9.740000, 8.318639
9.750000, 8.318573
9.760000, 8.318506
9.770000, 8.318440
9.780000, 8.318374
9.790000, 8.318308
9.800000, 8.318243
9.810000, 8.318178
9.820000, 8.318113
9.830000, 8.318048
9.840000, 8.317984
9.850000, 8.317920
9.860000, 8.317857
9.870000, 8.317794
9.880000, 8.317731
9.890000, 8.317668
9.900000, 8.317606
9.910000, 8.317544
9.920000, 8.317482
9.930000, 8.317420
9.940000, 8.317359
9.950000, 8.317298
9.960000, 8.317238
9.970000, 8.317177
9.980000, 8.317117
9.990000, 8.317057
10.000000, 8.316998
10.010000, 8.316939
10.020000, 8.316880
10.030000, 8.316821
10.040000, 8.316763
10.050000, 8.316705
10.060000, 8.316647
10.070000, 8.316589
10.080000, 8.316532
10.090000, 8.316475
10.100000, 8.316418
10.110000, 8.316361
10.120000, 8.316305
10.130000, 8.316249
10.140000, 8.316193
10.150000, 8.316138
10.160000, 8.316083
10.170000, 8.316028
10.180000, 8.315973
10.190000, 8.315919
10.200000, 8.315865
10.210000, 8.315811
10.220000, 8.315757
10.230000, 8.315704
10.240000, 8.315650
10.250000, 8.315597
10.260000, 8.315545
10.270000, 8.315492
10.280000, 8.315440
10.290000, 8.315388
10.300000, 8.315336
10.310000, 8.315285
10.320000, 8.315234
10.330000, 8.315183
10.340000, 8.315132
10.350000, 8.315082
10.360000, 8.315031
10.370000, 8.314981
10.380000, 8.314932
10.390000, 8.314882
10.400000, 8.314833
10.410000, 8.314784
10.420000, 8.314735
10.430000, 8.314686
10.440000, 8.314638
10.450000, 8.314589
10.460000, 8.314541
10.470000, 8.314494
10.480000, 8.314446
10.490000, 8.314399
10.500000, 8.314352
10.510000, 8.314305
10.520000, 8.314258
10.530000, 8.314212
10.540000, 8.314166
10.550000, 8.314120
10.560000, 8.314074
10.570000, 8.314028
10.580000, 8.313983
10.590000, 8.313938
10.600000, 8.313893
10.610000, 8.313848
10.620000, 8.313804
10.630000, 8.313759
10.640000, 8.313715
10.650000, 8.313672
10.660000, 8.313628
10.670000, 8.313584
10.680000, 8.313541
10.690000, 8.313498
10.700000, 8.313455
10.710000, 8.313413
10.720000, 8.313370
10.730000, 8.313328
10.740000, 8.313286
10.750000, 8.313244
10.760000, 8.313202
10.770000, 8.313161
10.780000, 8.313119
10.790000, 8.313078
10.800000, 8.313037
10.810000, 8.312997
10.820000, 8.312956
10.830000, 8.312916
10.840000, 8.312876
10.850000, 8.312836
10.860000, 8.312796
10.870000, 8.312756
10.880000, 8.312717
10.890000, 8.312678
10.900000, 8.312639
10.910000, 8.312600
10.920000, 8.312561
10.930000, 8.312523
10.940000, 8.312484
10.950000, 8.312446
10.960000, 8.312408
10.970000, 8.312371
10.980000, 8.312333
10.990000, 8.312296
11.000000, 8.312258
11.010000, 8.312221
11.020000, 8.312184
11.030000, 8.312148
11.040000, 8.312111
11.050000, 8.312075
11.060000, 8.312038
11.070000, 8.312002
11.080000, 8.311967
11.090000, 8.311931
11.100000, 8.311895
11.110000, 8.311860
11.120000, 8.311825
11.130000, 8.311790
11.140000, 8.311755
11.150000, 8.311720
11.160000, 8.311685
11.170000, 8.311651
11.180000, 8.311617
11.190000, 8.311583
11.200000, 8.311549
11.210000, 8.311515
11.220000, 8.311481
11.230000, 8.311448
11.240000, 8.311415
11.250000, 8.311382
11.260000, 8.311349
11.270000, 8.311316
11.280000, 8.311283
11.290000, 8.311251
11.300000, 8.311218
11.310000, 8.311186
11.320000, 8.311154
11.330000, 8.311122
11.340000, 8.311090
11.350000, 8.311059
11.360000, 8.311027
11.370000, 8.310996
11.380000, 8.310965
11.390000, 8.310934
11.400000, 8.310903
11.410000, 8.310872
11.420000, 8.310841
11.430000, 8.310811
11.440000, 8.310781
11.450000, 8.310751
11.460000, 8.310720
11.470000, 8.310691
11.480000, 8.310661
11.490000, 8.310631
11.500000, 8.310602
11.510000, 8.310572
11.520000, 8.310543
11.530000, 8.310514
11.540000, 8.310485
11.550000, 8.310456
11.560000, 8.310428
11.570000, 8.310399
11.580000, 8.310371
11.590000, 8.310343
11.600000, 8.310314
11.610000, 8.310286
11.620000, 8.310259
11.630000, 8.310231
11.640000, 8.310203
11.650000, 8.310176
11.660000, 8.310148
11.670000, 8.310121
11.680000, 8.310094
11.690000, 8.310067
